pair_id,source_id,builder_version,gold_action,negative_action,delta_tag,hard_axis,scope_error_direction,status,issues
pw_train_seed_ambiguous_001__ask_clarification_vs_direct_answer__00,seed_ambiguous_001,pairwise_v0_1,ask_clarification,direct_answer,missing_clarification,clarification,none,clean,
pw_train_seed_ambiguous_001__ask_clarification_vs_safe_redirect__01,seed_ambiguous_001,pairwise_v0_1,ask_clarification,safe_redirect,missing_clarification,clarification,none,clean,
pw_train_seed_benign_sensitive_004__direct_answer_vs_ask_clarification__00,seed_benign_sensitive_004,pairwise_v0_1,direct_answer,ask_clarification,unnecessary_clarification,clarification,none,clean,
pw_train_seed_benign_sensitive_004__direct_answer_vs_safe_high_level__01,seed_benign_sensitive_004,pairwise_v0_1,direct_answer,safe_high_level,wrong_granularity,granularity,none,clean,
pw_train_seed_clear_harmful_001__safe_redirect_vs_direct_answer__00,seed_clear_harmful_001,pairwise_v0_1,safe_redirect,direct_answer,wrong_scope,scope_contract,unsafe_specificity,clean,
pw_train_seed_clear_harmful_001__safe_redirect_vs_safe_high_level__01,seed_clear_harmful_001,pairwise_v0_1,safe_redirect,safe_high_level,wrong_scope,scope_contract,wrong_object,clean,
pw_train_seed_clear_harmful_002__safe_redirect_vs_direct_answer__00,seed_clear_harmful_002,pairwise_v0_1,safe_redirect,direct_answer,wrong_scope,scope_contract,unsafe_specificity,clean,
pw_train_seed_clear_harmful_002__safe_redirect_vs_safe_high_level__01,seed_clear_harmful_002,pairwise_v0_1,safe_redirect,safe_high_level,wrong_scope,scope_contract,wrong_object,clean,
pw_train_seed_dual_use_002__safe_high_level_vs_direct_answer__00,seed_dual_use_002,pairwise_v0_1,safe_high_level,direct_answer,wrong_scope,scope_contract,unsafe_specificity,clean,
pw_train_seed_dual_use_002__safe_high_level_vs_refuse__01,seed_dual_use_002,pairwise_v0_1,safe_high_level,refuse,wrong_scope,scope_contract,too_narrow,clean,
pw_train_seed_long_context_001__safe_redirect_vs_direct_answer__00,seed_long_context_001,pairwise_v0_1,safe_redirect,direct_answer,lost_fork_state,fork_state,none,clean,
pw_train_seed_long_context_001__safe_redirect_vs_safe_high_level__01,seed_long_context_001,pairwise_v0_1,safe_redirect,safe_high_level,wrong_scope,scope_contract,wrong_object,clean,
pw_train_seed_non_safety_001__partial_allowed_vs_direct_answer__00,seed_non_safety_001,pairwise_v0_1,partial_allowed,direct_answer,lost_fork_state,fork_state,none,clean,
pw_train_seed_non_safety_001__partial_allowed_vs_refuse__01,seed_non_safety_001,pairwise_v0_1,partial_allowed,refuse,lost_fork_state,fork_state,none,clean,
pw_train_seed_non_safety_002__ask_clarification_vs_direct_answer__00,seed_non_safety_002,pairwise_v0_1,ask_clarification,direct_answer,missing_clarification,clarification,none,clean,
pw_train_seed_non_safety_002__ask_clarification_vs_safe_redirect__01,seed_non_safety_002,pairwise_v0_1,ask_clarification,safe_redirect,missing_clarification,clarification,none,clean,
pw_train_v0_balance_001__refuse_vs_safe_redirect__00,v0_balance_001,pairwise_v0_1,refuse,safe_redirect,under_refusal,refusal_boundary,none,clean,
pw_train_v0_balance_001__refuse_vs_direct_answer__01,v0_balance_001,pairwise_v0_1,refuse,direct_answer,under_refusal,refusal_boundary,none,clean,
pw_train_v0_balance_002__refuse_vs_safe_redirect__00,v0_balance_002,pairwise_v0_1,refuse,safe_redirect,under_refusal,refusal_boundary,none,clean,
pw_train_v0_balance_002__refuse_vs_direct_answer__01,v0_balance_002,pairwise_v0_1,refuse,direct_answer,under_refusal,refusal_boundary,none,clean,
pw_train_v0_balance_003__refuse_vs_safe_redirect__00,v0_balance_003,pairwise_v0_1,refuse,safe_redirect,under_refusal,refusal_boundary,none,clean,
pw_train_v0_balance_003__refuse_vs_direct_answer__01,v0_balance_003,pairwise_v0_1,refuse,direct_answer,under_refusal,refusal_boundary,none,clean,
pw_train_v0_balance_004__refuse_vs_safe_redirect__00,v0_balance_004,pairwise_v0_1,refuse,safe_redirect,under_refusal,refusal_boundary,none,clean,
pw_train_v0_balance_004__refuse_vs_direct_answer__01,v0_balance_004,pairwise_v0_1,refuse,direct_answer,under_refusal,refusal_boundary,none,clean,
pw_train_v0_balance_006__direct_answer_vs_safe_high_level__00,v0_balance_006,pairwise_v0_1,direct_answer,safe_high_level,wrong_granularity,granularity,none,clean,
